X_values,y_values
0.749080238,6.334287781
1.901428613,9.405278488
1.463987884,8.483724427
1.197316968,5.604381991
0.312037281,4.716439955
0.311989041,5.293079694
0.116167224,5.826395718
1.732352292,8.678786656
1.202230023,6.798196468
1.416145156,7.746678423
0.041168989,5.038909083
1.939819704,10.14821022
1.664885282,8.464895641
0.424678221,5.787302097
0.363649934,5.188027353
0.36680902,6.06907205
0.608484486,5.123400364
1.049512863,6.820876443
0.863890037,6.199561959
0.58245828,4.283859893
1.223705789,7.967237645
0.278987721,5.098018436
0.584289297,5.757981348
0.732723687,5.963583926
0.912139968,5.321049163
1.570351923,8.290410446
0.399347564,4.855328176
1.028468877,6.283129361
1.184829138,7.393201702
0.092900825,4.682753333
1.215089704,9.531455013
0.341048247,5.197722555
0.130103186,4.647859949
1.897771075,9.618867308
1.931264066,7.875020983
1.616794696,8.823870213
0.609227538,5.887912825
0.195344228,7.049274797
1.368466053,7.913037194
0.880304987,6.942462305
0.24407647,4.697517639
0.99035382,5.802383423
0.068777042,5.349153941
1.818640804,10.20785545
0.517559963,6.343711837
1.325044569,7.065746251
0.623422152,7.273060767
1.040136042,5.718557064
1.093420559,7.86711877
0.369708911,7.299582359
1.939169256,8.826971441
1.550265647,8.084499211
1.878997883,9.736645014
1.789654701,8.865488448
1.195799958,6.036736442
1.84374847,9.599808385
0.176985004,3.468651299
0.391965725,5.649489605
0.090454578,3.351939499
0.650660662,7.50191639
0.777354579,5.548810446
0.542698064,5.306032674
1.657475018,9.785942272
0.713506653,4.909655644
0.561869019,5.913066993
1.085392166,8.563319253
0.28184845,3.238062115
1.604393962,8.997815743
0.149101287,4.707186656
1.973773873,10.70314449
1.544489539,7.396517905
0.397431363,3.871837476
0.011044234,4.555074268
1.630922857,9.189753244
1.413714688,8.491636913
1.458014336,8.720491218
1.542540693,7.947597359
0.148089303,4.676521608
0.716931457,6.443866845
0.231738119,3.980862939
1.726206852,11.04439507
1.246596254,8.213621682
0.66179605,4.794084652
0.127116701,5.03790371
0.621964643,4.89121226
0.650366644,6.738184536
1.459212357,9.536232649
1.275114943,7.00466251
1.774425485,10.28665258
0.94442985,7.246070478
0.239188492,5.539625636
1.426489574,10.17626171
1.521570097,8.319322176
1.122554395,6.613927021
1.54193436,7.73628865
0.987591193,6.146963293
1.045465659,7.059295267
0.855082037,6.906398085
0.050838253,4.42920556
0.215782854,5.474531811
